#timestamp [ns], position.x [m], position.y [m], position.z [m], quaternion.w [], quaternion.x [], qquaternion.y [], quaternion.z []
0000000000000000000,-0.460325986,-1.88941801,1.37252295,0.552253127,0.479852885,-0.475623906,-0.48840487
0000000000050000000,-0.460408986,-1.88828099,1.37248802,0.552591085,0.479581952,-0.475786954,-0.488129944
0000000000100000000,-0.460523009,-1.88732004,1.37247205,0.552636325,0.479606718,-0.47581777,-0.488023728
0000000000150000000,-0.460577995,-1.88635194,1.37250197,0.552801371,0.479819715,-0.475243717,-0.488186657
0000000000200000000,-0.460610986,-1.88551795,1.37249601,0.553178191,0.479544759,-0.47550571,-0.48777771
0000000000250000000,-0.460319996,-1.88454795,1.37248194,0.553660989,0.479692012,-0.474857956,-0.487713963
0000000000300000000,-0.459957004,-1.88352501,1.37245798,0.554255664,0.479918301,-0.473898262,-0.487750292
0000000000350000000,-0.459416986,-1.88274002,1.37244904,0.554541528,0.480485409,-0.47318238,-0.487562418
0000000000399999999,-0.458842993,-1.882002,1.37239397,0.554805636,0.480919182,-0.472342193,-0.487651229
0000000000449999999,-0.458200991,-1.881271,1.37239897,0.55518645,0.481021434,-0.471775472,-0.487663448
0000000000499999999,-0.457468003,-1.88079906,1.37249804,0.554558754,0.481478184,-0.471623182,-0.48807317
0000000000549999999,-0.456909001,-1.88032198,1.37248504,0.554280281,0.481027722,-0.472288758,-0.488188773
0000000000600000000,-0.456176013,-1.879704,1.37247205,0.553907633,0.480592459,-0.472966462,-0.488383442
0000000000650000000,-0.455370992,-1.87880898,1.372545,0.552917659,0.479861408,-0.473735452,-0.489477396
0000000000700000000,-0.454892993,-1.87746894,1.37254906,0.552665651,0.478451431,-0.474318415,-0.490576446
0000000000750000000,-0.454113007,-1.87597406,1.37261999,0.552584529,0.477688402,-0.474545419,-0.491194427
0000000000800000000,-0.453092992,-1.87423003,1.37259996,0.552081168,0.477556854,-0.474378824,-0.492046863
0000000000850000000,-0.452134013,-1.87223995,1.37239099,0.551981449,0.477040589,-0.474060565,-0.492964566
0000000000900000000,-0.451144993,-1.87009203,1.37221897,0.552148342,0.476253569,-0.473793596,-0.4937976
0000000000950000000,-0.450233996,-1.86794305,1.37213099,0.552206159,0.476067841,-0.473847806,-0.493857831
0000000001000000000,-0.449119002,-1.86551201,1.37198806,0.55300796,0.475675046,-0.473641068,-0.493538052
0000000001050000000,-0.448020995,-1.86284602,1.371907,0.554033637,0.474333405,-0.474428445,-0.492920369
0000000001100000000,-0.44680199,-1.86011302,1.37184703,0.554479241,0.472529829,-0.476552784,-0.492102802
0000000001150000000,-0.445506006,-1.85725105,1.37164998,0.555315793,0.469871163,-0.479977161,-0.490375191
0000000001200000000,-0.442519993,-1.85405195,1.37120998,0.554163754,0.469917357,-0.481166303,-0.490466326
0000000001250000000,-0.438228011,-1.85047603,1.36995697,0.552445412,0.470416605,-0.481492609,-0.491605639
0000000001300000000,-0.432913989,-1.84667504,1.36745095,0.55110538,0.471186668,-0.481227696,-0.492630661
0000000001350000000,-0.426176995,-1.84309304,1.36511505,0.549632728,0.472043276,-0.480183274,-0.494473279
0000000001400000000,-0.417798012,-1.84025395,1.36333394,0.546648681,0.473563254,-0.47916624,-0.497306257
0000000001450000000,-0.408145994,-1.83817995,1.36244702,0.543382764,0.4745951,-0.478679091,-0.500364125
0000000001500000000,-0.397514999,-1.83699799,1.36215103,0.539677739,0.474734336,-0.480246365,-0.502729356
0000000001550000000,-0.385614991,-1.83640301,1.36137998,0.53601563,0.47425434,-0.483204335,-0.504266322
0000000001600000000,-0.372076988,-1.83590698,1.36021197,0.53494072,0.471269399,-0.485381335,-0.506109357
0000000001650000000,-0.35630399,-1.83606398,1.35853302,0.532219172,0.469770849,-0.486424863,-0.50936085
0000000001700000000,-0.338272005,-1.83698595,1.35654104,0.530508399,0.468681574,-0.486259609,-0.512297571
0000000001750000000,-0.318473011,-1.83927298,1.35420704,0.529550135,0.46852389,-0.485710859,-0.513951898
0000000001800000000,-0.297219008,-1.84331095,1.35133803,0.52868551,0.470023453,-0.485090435,-0.514060438
0000000001850000000,-0.274713993,-1.84887302,1.34855402,0.528393567,0.471315295,-0.48463431,-0.513610363
0000000001900000000,-0.251430988,-1.85613704,1.34640503,0.528405964,0.47094506,-0.486627072,-0.512047052
0000000001950000000,-0.226439998,-1.86498404,1.34594798,0.529836535,0.470909506,-0.489605486,-0.507742465
0000000002000000000,-0.200195998,-1.87474597,1.34729004,0.530458748,0.471430302,-0.49133727,-0.504928231
0000000002050000000,-0.173112005,-1.88473499,1.34966803,0.530533552,0.471618414,-0.493347466,-0.502712488
0000000002100000000,-0.146062002,-1.894135,1.35220802,0.529365957,0.472431093,-0.494421095,-0.502124071
0000000002150000000,-0.120348997,-1.90161204,1.35369694,0.531019807,0.470913172,-0.492967188,-0.503232181
0000000002200000000,-0.0949420035,-1.90802097,1.35484397,0.534517229,0.470842779,-0.492502779,-0.500038743
0000000002250000000,-0.0686680004,-1.91338396,1.35692406,0.536980033,0.47378087,-0.490582854,-0.496502906
0000000002300000000,-0.0425929986,-1.91650295,1.359326,0.54094243,0.477393538,-0.485344499,-0.493881553
0000000002349999999,-0.0171050001,-1.91791904,1.36089003,0.548034787,0.478189349,-0.479299307,-0.491185278
0000000002399999999,0.00953000039,-1.91904998,1.36134601,0.55447191,0.478733122,-0.4743101,-0.488268077
0000000002449999999,0.0379359983,-1.92021799,1.36064005,0.556209207,0.482368857,-0.468331844,-0.488483876
0000000002499999999,0.0670939982,-1.92129695,1.358675,0.557962179,0.484040856,-0.464709848,-0.488289833
0000000002549999999,0.0969249979,-1.92228198,1.35548496,0.557688355,0.4843916,-0.462934554,-0.489940614
0000000002599999999,0.127559006,-1.922719,1.35124695,0.558144152,0.48433283,-0.462732852,-0.489667833
0000000002649999999,0.158986002,-1.92234504,1.34721506,0.557734668,0.483747363,-0.463622332,-0.48987332
0000000002699999999,0.191001996,-1.92093205,1.34431696,0.557056904,0.481670082,-0.466636091,-0.489829093
0000000002749999999,0.223915994,-1.91861296,1.34373605,0.556066036,0.479698956,-0.470054954,-0.48961997
0000000002799999999,0.257046014,-1.91544902,1.34645104,0.555423617,0.476976454,-0.473172486,-0.49000445
0000000002849999999,0.289200991,-1.91187096,1.35034394,0.554944515,0.474217385,-0.476195395,-0.490299404
0000000002899999999,0.319676995,-1.90849698,1.35263598,0.556082368,0.470208704,-0.47947669,-0.489670694
0000000002949999999,0.351027012,-1.90628695,1.35436404,0.552607834,0.470468193,-0.479922175,-0.492909193
0000000002999999999,0.382046998,-1.905388,1.35661602,0.544851065,0.473856926,-0.479606956,-0.498571962
0000000003049999999,0.410679013,-1.90508199,1.358863,0.537888348,0.475215554,-0.481508583,-0.502988636
0000000003099999999,0.437005013,-1.90521896,1.359936,0.535709858,0.475454122,-0.483677119,-0.503006101
